Name,Year,FIP,pit_IP,Team
朱承洋,2025,1.468,51.0,樂天桃猿
凱樂,2025,3.063,3.0,樂天桃猿
李致霖,2025,1.497,2.0,味全龍
陳志杰,2025,1.997,2.0,味全龍
張鈞守,2025,3.134,8.0,味全龍
黃暐傑,2025,3.997,8.0,味全龍
林鋅杰,2024,6.247,1.0,味全龍
林鋅杰,2025,3.185,12.0,味全龍
魔力藍,2025,3.019,23.0,富邦悍將
力亞士,2025,3.067,24.0,富邦悍將
林栚呈,2024,4.247,1.0,富邦悍將
林栚呈,2025,2.997,45.0,富邦悍將
