Year,Team,bat_OBP,bat_SLG,bat_AVG,bat_ISO,bat_BB_percent,bat_K_percent,pit_ERA,pit_WHIP
2023,味全,0.32018927444794953,0.34908998988877654,0.2479777553083923,0.10111223458038424,0.08004434589800444,0.18536585365853658,3.6116118015368563,1.3177117920500903
2023,富邦,0.3131040683299618,0.34187608857924856,0.24707638716098532,0.09479970141826324,0.07123893805309735,0.1747787610619469,3.7905520774046666,1.3688104723961296
2023,樂天,0.34191176470588236,0.39947153495075666,0.2800864760989671,0.11938505885178957,0.07626575518051698,0.15915402691732536,3.927576601671309,1.4428969359331476
2023,中信,0.32537248028045573,0.3457459926017263,0.2498150431565968,0.09593094944512948,0.09114470842332613,0.17257019438444923,3.8966128580759536,1.3212652794625361
2023,統一,0.34297520661157027,0.3629737609329446,0.27332361516034986,0.08965014577259472,0.08535798752956353,0.1496452375833154,3.368072003789673,1.2648034107058266
2024,味全,0.31499094202898553,0.35285322701221034,0.25616745576875155,0.09668577124345878,0.07008928571428572,0.17165178571428572,3.395906046599378,1.2593151589472693
2024,樂天,0.3269748653500898,0.37355615630376016,0.2727942983534038,0.10076185795035636,0.06542882404951371,0.16511936339522545,3.706937458479643,1.396982063205846
2024,富邦,0.32297447280799113,0.3400447427293065,0.2545364156102411,0.08550832711906542,0.07822085889570553,0.16849255039439087,3.7421682172014434,1.4163660527814697
2024,中信,0.3393912853076418,0.3773913043478261,0.26260869565217393,0.11478260869565216,0.0959879206212252,0.18248490077653148,3.6975893443391805,1.3113216396210488
2024,台鋼,0.32779255319148937,0.35345040811278755,0.2579767499381647,0.09547365817462283,0.0804899387576553,0.18066491688538933,4.166746710210355,1.4494284890980695
2024,統一,0.3475609756097561,0.37420615534929164,0.2794333170493405,0.09477283829995115,0.08719052744886975,0.1644779332615716,3.420204700530705,1.3125473843821076
2025,台鋼雄鷹,0.35977011494252875,0.40512820512820513,0.2948717948717949,0.11025641025641025,0.09122006841505131,0.11972633979475485,0.031076414952709804,0.21152980033028074
2025,統一獅,0.3543577981651376,0.4892541087231353,0.29329962073324906,0.19595448798988624,0.07560137457044673,0.16265750286368844,0.031076414952709804,0.21152980033028074
2025,樂天桃猿,0.3522550544323484,0.3993231810490694,0.30287648054145516,0.09644670050761422,0.07059736229635376,0.14197051978277736,0.031076414952709804,0.21152980033028074
2025,味全龍,0.353887399463807,0.4199522102747909,0.2861409796893668,0.1338112305854241,0.08085106382978724,0.13936170212765958,0.031076414952709804,0.21152980033028074
2025,中信兄弟,0.3730994152046784,0.41517241379310343,0.2813793103448276,0.13379310344827583,0.09710982658959537,0.15953757225433526,0.031076414952709804,0.21152980033028074
