bat_SB,Year,bat_AB,bat_SF,bat_TB,bat_CS,bat_SH,bat_2B,bat_PA,bat_1B,bat_SO,bat_H,bat_HBP,bat_GIDP,bat_R,bat_BB,bat_FO,bat_G,bat_3B,bat_GO,bat_RBI,bat_HR,bat_IBB,bat_BB_percent,bat_K_percent,pit_BF,pit_BK,pit_SHO,pit_IP,pit_ER,pit_W,pit_NBB,pit_SO,pit_GR,pit_SV,pit_H,pit_HBP,pit_HLD,pit_BB,pit_R,pit_FO,pit_G,pit_GO,pit_BS,pit_WP,pit_L,pit_HR,pit_NP,pit_IBB,pit_CG,pit_GS,fld_G,fld_TC,fld_PO,fld_A,fld_E,fld_DP,fld_TP,fld_PB,fld_CS,fld_SB,fld_POS_main,Win,Lose,Tie,Name_Display,Team_Display,Year_Display,Real_OPS
0.0,2025,436.0,3.0,153.0,0.0,0.0,0.0,485.0,0.0,43.0,122.0,7.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061855670103092786,0.088659793814433,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,郭天信,味全龍,2025,0.6849510446380387
0.0,2025,461.0,3.0,188.0,0.0,0.0,0.0,498.0,0.0,77.0,127.0,4.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05823293172690763,0.15461847389558234,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,林佳緯,統一獅,2025,0.7297407001662906
0.0,2025,453.0,2.0,238.0,0.0,0.0,0.0,499.0,0.0,88.0,124.0,9.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07014028056112225,0.17635270541082165,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,吉力吉撈．鞏冠,味全龍,2025,0.8620596601591705
0.0,2025,461.0,4.0,149.0,0.0,0.0,0.0,506.0,0.0,34.0,126.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.06719367588932806,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,曾子祐,台鋼雄鷹,2025,0.6424875205812404
0.0,2025,382.0,8.0,121.0,0.0,0.0,0.0,455.0,0.0,51.0,104.0,21.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07472527472527472,0.11208791208791209,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,江坤宇,中信兄弟,2025,0.6740572974880875
0.0,2023,349.0,3.0,177.0,1.0,2.0,31.0,392.0,77.0,43.0,118.0,6.0,10.0,57.0,32.0,103.0,96.0,2.0,90.0,54.0,8.0,1.0,0.08163265306122448,0.1096938775510204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,241.0,72.0,151.0,18.0,17.0,0.0,0.0,0.0,0.0,0,60.0,56.0,4.0,梁家榮,樂天,2023,0.907163323782235
0.0,2024,368.0,6.0,125.0,0.0,4.0,16.0,411.0,78.0,60.0,98.0,5.0,13.0,35.0,27.0,108.0,98.0,1.0,112.0,37.0,3.0,1.0,0.06569343065693431,0.145985401459854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,264.0,112.0,138.0,14.0,23.0,0.0,0.0,0.0,0.0,0,62.0,57.0,1.0,梁家榮,樂天,2024,0.6598709573784536
1.0,2023,306.0,6.0,128.0,3.0,1.0,21.0,329.0,51.0,63.0,81.0,1.0,8.0,40.0,15.0,103.0,91.0,1.0,66.0,43.0,8.0,0.0,0.04559270516717325,0.19148936170212766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,395.0,165.0,211.0,19.0,47.0,0.0,0.0,0.0,0.0,2,60.0,56.0,4.0,林承飛,樂天,2023,0.7140323609118444
0.0,2024,204.0,3.0,75.0,0.0,2.0,10.0,220.0,28.0,59.0,45.0,1.0,4.0,25.0,10.0,58.0,73.0,1.0,47.0,31.0,6.0,1.0,0.045454545454545456,0.2681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,189.0,89.0,92.0,8.0,16.0,0.0,0.0,0.0,0.0,0,62.0,57.0,1.0,林承飛,樂天,2024,0.6245277927684836
0.0,2023,387.0,5.0,202.0,0.0,0.0,15.0,443.0,84.0,62.0,121.0,7.0,11.0,62.0,44.0,134.0,111.0,0.0,75.0,83.0,22.0,2.0,0.09932279909706546,0.1399548532731377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0,39.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0,60.0,56.0,4.0,廖健富,樂天,2023,0.910225675305207
